,Year,Cause,Delays (%)
0,2003,Air Carrier Delay,3.65791709922729
1,2004,Air Carrier Delay,4.33012424199626
2,2005,Air Carrier Delay,4.98212302167381
3,2006,Air Carrier Delay,5.47422445174149
4,2007,Air Carrier Delay,5.98717590269939
5,2008,Air Carrier Delay,5.02256656697049
6,2009,Air Carrier Delay,4.29455283001326
7,2010,Air Carrier Delay,4.40634916373266
8,2011,Air Carrier Delay,4.41898476397505
9,2012,Air Carrier Delay,4.3439123405838
10,2013,Air Carrier Delay,4.75140436627288
11,2014,Air Carrier Delay,5.26547794224915
12,2015,Air Carrier Delay,5.03649724981218
13,2016,Air Carrier Delay,4.68374648447547
14,2017,Air Carrier Delay,4.62336746283187
15,2003,Extreme Weather Delay,0.651899522853162
16,2004,Extreme Weather Delay,0.814227007029901
17,2005,Extreme Weather Delay,0.753195746809575
18,2006,Extreme Weather Delay,0.79238820018611
19,2007,Extreme Weather Delay,0.871490760483298
20,2008,Extreme Weather Delay,0.723615382939917
21,2009,Extreme Weather Delay,0.620875598811918
22,2010,Extreme Weather Delay,0.528699865147697
23,2011,Extreme Weather Delay,0.494826192788045
24,2012,Extreme Weather Delay,0.469696174411025
25,2013,Extreme Weather Delay,0.54291605185656
26,2014,Extreme Weather Delay,0.59706523223788
27,2015,Extreme Weather Delay,0.605726549341919
28,2016,Extreme Weather Delay,0.527187590784093
29,2017,Extreme Weather Delay,0.62165102516588
30,2003,NAS Delay,8.48238882653718
31,2004,NAS Delay,9.38134593217945
32,2005,NAS Delay,9.1217883726834
33,2006,NAS Delay,9.33461908021634
34,2007,NAS Delay,9.71652438960659
35,2008,NAS Delay,9.39559311580538
36,2009,NAS Delay,8.34033704731287
37,2010,NAS Delay,6.79223079880158
38,2011,NAS Delay,6.72792837790604
39,2012,NAS Delay,5.65291508200262
40,2013,NAS Delay,6.82019972193054
41,2014,NAS Delay,7.12362988700852
42,2015,NAS Delay,6.17394490172928
43,2016,NAS Delay,6.20097268485594
44,2017,NAS Delay,7.256295739648
45,2003,Security Delay,0.061318932381346
46,2004,Security Delay,0.070747547735443
47,2005,Security Delay,0.050890995520395
48,2006,Security Delay,0.080127433782921
49,2007,Security Delay,0.065275861588417
50,2008,Security Delay,0.043642850018973
51,2009,Security Delay,0.033956489188356
52,2010,Security Delay,0.044129531434011
53,2011,Security Delay,0.03557894954363
54,2012,Security Delay,0.031800258345231
55,2013,Security Delay,0.035563239862944
56,2014,Security Delay,0.026206658650377
57,2015,Security Delay,0.03173977676844
58,2016,Security Delay,0.03355926750057
59,2017,Security Delay,0.026713235356908
60,2003,Aircraft Arriving Late,4.42866073397011
61,2004,Aircraft Arriving Late,5.63121722530764
62,2005,Aircraft Arriving Late,6.18444622945244
63,2006,Aircraft Arriving Late,7.32145031357071
64,2007,Aircraft Arriving Late,8.18534559346127
65,2008,Aircraft Arriving Late,7.16745724318109
66,2009,Aircraft Arriving Late,6.14301439105905
67,2010,Aircraft Arriving Late,6.30631340651562
68,2011,Aircraft Arriving Late,6.5433154047933
69,2012,Aircraft Arriving Late,6.11379112628123
70,2013,Aircraft Arriving Late,7.4503401501344
71,2014,Aircraft Arriving Late,7.83740262905741
72,2015,Aircraft Arriving Late,6.42670455368297
73,2016,Aircraft Arriving Late,6.03010986241947
74,2017,Aircraft Arriving Late,6.41119356463967
